"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.904026875E0	-1.006357269E0	9.175619202E0	-6.680607605E-1	9.254785133E0
2.913998875E0	-9.334588623E-1	9.345066833E0	-7.174580383E-1	9.418936543E0
2.923969875E0	-6.491999817E-1	9.652078400E0	-4.263134766E-1	9.683275336E0
2.933941875E0	-3.932322693E-1	9.951755219E0	-7.200027466E-2	9.959781503E0
2.943913875E0	-1.751358032E-1	1.013332764E1	1.664538574E-1	1.013620779E1
2.953885875E0	-6.945556641E-2	1.026834686E1	2.761756897E-1	1.027229499E1
2.963856875E0	-1.109193420E-1	1.041698776E1	2.082170105E-1	1.041965889E1
2.973828875E0	-3.564088440E-1	1.050425629E1	7.873626709E-2	1.051059593E1
2.983800875E0	-5.303471375E-1	1.061337936E1	2.978805542E-2	1.062666349E1
2.993772875E0	-5.941145325E-1	1.069091812E1	1.905537415E-1	1.070910888E1
3.003743875E0	-5.593867493E-1	1.071501801E1	5.128335571E-1	1.074185844E1
3.013715875E0	-4.757107544E-1	1.076710968E1	1.097817078E0	1.083338146E1
3.023687875E0	-2.389031982E-1	1.072070618E1	1.580413513E0	1.083920304E1
3.033658875E0	8.921447754E-2	1.056353302E1	1.611848145E0	1.068617067E1
3.043630875E0	3.556604004E-1	1.041728714E1	1.335672455E0	1.050858633E1
3.053602875E0	7.035369873E-1	1.038196060E1	1.247505798E0	1.048028344E1
3.063574875E0	1.198707275E0	1.029124924E1	1.408421173E0	1.045611592E1
3.073545875E0	1.655108185E0	1.019814285E1	1.372346191E0	1.042232387E1
3.083517875E0	1.903890839E0	1.007988876E1	8.244854736E-1	1.029119692E1
3.093489875E0	1.939516754E0	1.000085312E1	-2.998265076E-1	1.019159871E1
3.103461875E0	1.379381561E0	1.003468277E1	-1.704505463E0	1.027146001E1
3.113432875E0	5.544470215E-1	1.018676651E1	-2.886597290E0	1.060236140E1
3.123404875E0	-1.914518738E-1	1.020577698E1	-3.522624664E0	1.079830644E1
3.133376875E0	-6.716532898E-1	1.020622604E1	-3.355871429E0	1.076475923E1
3.143347875E0	-8.521778870E-1	9.932445374E0	-2.051034851E0	1.017774151E1
3.153319875E0	-5.450166321E-1	9.697883148E0	-1.426533508E-1	9.714233406E0
3.163291875E0	-2.710862732E-1	9.588311005E0	1.536405029E0	9.714408685E0
3.173263875E0	-1.625619507E-1	9.396709442E0	2.694846039E0	9.776848669E0
